Country,Web Clicks,News Clicks,Web Impressions,News Impressions,Web CTR,News CTR,Web Position,News Position
Indonesia,444,0,14903,0,2.98%,0%,5.97,0
Malaysia,1,0,25,0,4%,0%,9.24,0
United States,0,0,277,0,0%,0%,10.51,0
Belgium,0,0,59,0,0%,0%,58.17,0
United Kingdom,0,0,57,0,0%,0%,54.46,0
Spain,0,0,49,0,0%,0%,57.16,0
Germany,0,0,47,0,0%,0%,58,0
India,0,0,45,0,0%,0%,10.49,0
Singapore,0,0,43,0,0%,0%,3.05,0
France,0,0,41,0,0%,0%,61.71,0
Canada,0,0,23,0,0%,0%,12.26,0
Brazil,0,0,21,0,0%,0%,11.19,0
China,0,0,13,0,0%,0%,11.54,0
Mexico,0,0,11,0,0%,0%,11.55,0
Cambodia,0,0,9,0,0%,0%,7.33,0
Japan,0,0,9,0,0%,0%,8,0
Philippines,0,0,9,0,0%,0%,10.22,0
Taiwan,0,0,8,0,0%,0%,6,0
Australia,0,0,7,0,0%,0%,5.43,0
Colombia,0,0,7,0,0%,0%,17.57,0
Hong Kong,0,0,6,0,0%,0%,3.5,0
Portugal,0,0,6,0,0%,0%,7.33,0
Vietnam,0,0,6,0,0%,0%,8.67,0
South Korea,0,0,6,0,0%,0%,11.67,0
Poland,0,0,5,0,0%,0%,10.8,0
Dominican Republic,0,0,4,0,0%,0%,8.25,0
New Zealand,0,0,4,0,0%,0%,9,0
Turkey,0,0,4,0,0%,0%,9,0
Romania,0,0,3,0,0%,0%,4.33,0
Bangladesh,0,0,3,0,0%,0%,7.33,0
Peru,0,0,3,0,0%,0%,11.33,0
Ecuador,0,0,3,0,0%,0%,15,0
Nigeria,0,0,2,0,0%,0%,3.5,0
Venezuela,0,0,2,0,0%,0%,6,0
Netherlands,0,0,2,0,0%,0%,7.5,0
Sweden,0,0,2,0,0%,0%,8,0
Zambia,0,0,2,0,0%,0%,8.5,0
Greece,0,0,2,0,0%,0%,9,0
Norway,0,0,2,0,0%,0%,9.5,0
Seychelles,0,0,2,0,0%,0%,11,0
Ukraine,0,0,2,0,0%,0%,11,0
Algeria,0,0,2,0,0%,0%,12.5,0
Argentina,0,0,2,0,0%,0%,15,0
Thailand,0,0,2,0,0%,0%,17.5,0
Croatia,0,0,2,0,0%,0%,22.5,0
Bulgaria,0,0,2,0,0%,0%,41.5,0
United Arab Emirates,0,0,1,0,0%,0%,1,0
Brunei,0,0,1,0,0%,0%,1,0
Switzerland,0,0,1,0,0%,0%,1,0
Lithuania,0,0,1,0,0%,0%,1,0
Albania,0,0,1,0,0%,0%,2,0
Moldova,0,0,1,0,0%,0%,2,0
Uruguay,0,0,1,0,0%,0%,3,0
South Africa,0,0,1,0,0%,0%,3,0
Chile,0,0,1,0,0%,0%,4,0
Ethiopia,0,0,1,0,0%,0%,4,0
Pakistan,0,0,1,0,0%,0%,4,0
Cyprus,0,0,1,0,0%,0%,6,0
Czechia,0,0,1,0,0%,0%,6,0
Madagascar,0,0,1,0,0%,0%,7,0
Ghana,0,0,1,0,0%,0%,8,0
Rwanda,0,0,1,0,0%,0%,8,0
Israel,0,0,1,0,0%,0%,9,0
Bahrain,0,0,1,0,0%,0%,10,0
Iraq,0,0,1,0,0%,0%,10,0
Qatar,0,0,1,0,0%,0%,10,0
Guinea,0,0,1,0,0%,0%,12,0
Italy,0,0,1,0,0%,0%,12,0
Slovakia,0,0,1,0,0%,0%,12,0
Bahamas,0,0,1,0,0%,0%,13,0
Egypt,0,0,1,0,0%,0%,13,0
Malta,0,0,1,0,0%,0%,13,0
Russia,0,0,1,0,0%,0%,14,0
Zimbabwe,0,0,1,0,0%,0%,14,0
Angola,0,0,1,0,0%,0%,15,0
Latvia,0,0,1,0,0%,0%,16,0
Mozambique,0,0,1,0,0%,0%,16,0
Costa Rica,0,0,1,0,0%,0%,17,0
Ireland,0,0,1,0,0%,0%,17,0
Saudi Arabia,0,0,1,0,0%,0%,20,0
Iran,0,0,1,0,0%,0%,23,0
Georgia,0,0,1,0,0%,0%,48,0
Denmark,0,0,1,0,0%,0%,61,0
